tanggal,lokasi,parameter,nilai,satuan
2025-01-05,Gedung_E,Water,1016.59,L
2025-01-05,Gedung_E,CO2,603.17,ppm
2025-01-05,Gedung_E,Waste,21.79,kg
2025-01-05,Gedung_F,Energy,215.21,kWh
2025-01-05,Gedung_F,Water,427.6,L
2025-01-05,Gedung_F,CO2,363.02,ppm
2025-01-05,Gedung_F,Waste,15.62,kg
2025-01-05,Gedung_G,Energy,135.8,kWh
2025-01-05,Gedung_G,Water,1064.35,L
2025-01-05,Gedung_G,CO2,881.79,ppm
2025-01-05,Gedung_G,Waste,20.35,kg
2025-01-05,Gedung_H,Energy,189.05,kWh
2025-01-05,Gedung_H,Water,599.68,L
2025-01-05,Gedung_H,CO2,889.63,ppm
2025-01-05,Gedung_H,Waste,34.49,kg
2025-01-05,Gedung_I,Energy,239.67,kWh
2025-01-05,Gedung_I,Water,315.34,L
2025-01-05,Gedung_I,CO2,883.72,ppm
2025-01-05,Gedung_I,Waste,14.82,kg
2025-01-05,Gedung_J,Energy,243.63,kWh
2025-01-05,Gedung_J,Water,465.47,L
2025-01-05,Gedung_J,CO2,409.62,ppm
2025-01-05,Gedung_J,Waste,28.9,kg
2025-01-05,Gedung_K,Energy,203.85,kWh
2025-01-05,Gedung_K,Water,513.68,L
2025-01-05,Gedung_K,CO2,683.41,ppm
2025-01-05,Gedung_K,Waste,33.13,kg
2025-01-05,Gedung_L,Energy,145.48,kWh
2025-01-05,Gedung_L,Water,776.59,L
2025-01-05,Gedung_L,CO2,490.1,ppm
2025-01-05,Gedung_L,Waste,43.98,kg
2025-01-05,Gedung_M,Energy,80.29,kWh
2025-01-05,Gedung_M,Water,1125.58,L
2025-01-05,Gedung_M,CO2,646.15,ppm
2025-01-05,Gedung_M,Waste,44.57,kg
2025-01-05,Gedung_N,Energy,206.13,kWh
2025-01-05,Gedung_N,Water,870.63,L
2025-01-05,Gedung_N,CO2,550.32,ppm
2025-01-05,Gedung_N,Waste,8.85,kg
2025-01-05,Gedung_O,Energy,192.92,kWh
2025-01-05,Gedung_O,Water,530.2,L
2025-01-05,Gedung_O,CO2,522.65,ppm
2025-01-05,Gedung_O,Waste,51.64,kg
2025-01-05,Gedung_P,Energy,202.36,kWh
2025-01-05,Gedung_P,Water,500.32,L
2025-01-05,Gedung_P,CO2,520.11,ppm
2025-01-05,Gedung_P,Waste,27.46,kg
2025-01-05,Gedung_Q,Energy,148.41,kWh
2025-01-05,Gedung_Q,Water,495.66,L
2025-01-05,Gedung_Q,CO2,420.01,ppm
2025-01-05,Gedung_Q,Waste,28.12,kg
2025-01-05,Gedung_R,Energy,239.86,kWh
2025-01-05,Gedung_R,Water,877.32,L
2025-01-05,Gedung_R,CO2,846.54,ppm
2025-01-05,Gedung_R,Waste,38.85,kg
2025-01-05,Gedung_S,Energy,131.16,kWh
2025-01-05,Gedung_S,Water,747.94,L
2025-01-05,Gedung_S,CO2,350.22,ppm
2025-01-05,Gedung_S,Waste,20.78,kg
2025-01-05,Gedung_T,Energy,153.08,kWh
2025-01-05,Gedung_T,Water,779.98,L
2025-01-05,Gedung_T,CO2,710.09,ppm
2025-01-05,Gedung_T,Waste,30.57,kg
2025-01-06,Gedung_A,Energy,155.17,kWh
2025-01-06,Gedung_A,Water,413.7,L
2025-01-06,Gedung_A,CO2,610.25,ppm
2025-01-06,Gedung_A,Waste,54.56,kg
2025-01-06,Gedung_B,Energy,215.32,kWh
2025-01-06,Gedung_B,Water,369.69,L
2025-01-06,Gedung_B,CO2,396.64,ppm
2025-01-06,Gedung_B,Waste,33.35,kg
2025-01-06,Gedung_C,Energy,187.6,kWh
2025-01-06,Gedung_C,Water,535.19,L
2025-01-06,Gedung_C,CO2,800.13,ppm
2025-01-06,Gedung_C,Waste,46.31,kg
2025-01-06,Gedung_D,Energy,194.38,kWh
2025-01-06,Gedung_D,Water,424.64,L
2025-01-06,Gedung_D,CO2,459.52,ppm
2025-01-06,Gedung_D,Waste,6.34,kg
2025-01-06,Gedung_E,Energy,121.62,kWh
2025-01-06,Gedung_E,Water,675.14,L
2025-01-06,Gedung_E,CO2,817.36,ppm
2025-01-06,Gedung_E,Waste,9.01,kg
2025-01-06,Gedung_F,Energy,150.45,kWh
2025-01-06,Gedung_F,Water,829.77,L
2025-01-06,Gedung_F,CO2,456.94,ppm
2025-01-06,Gedung_F,Waste,43.3,kg
2025-01-06,Gedung_G,Energy,164.04,kWh
2025-01-06,Gedung_G,Water,443.98,L
2025-01-06,Gedung_G,CO2,710.83,ppm
2025-01-06,Gedung_G,Waste,5.3,kg
2025-01-06,Gedung_H,Energy,207.66,kWh
2025-01-06,Gedung_H,Water,970.05,L
2025-01-06,Gedung_H,CO2,408.62,ppm
2025-01-06,Gedung_H,Waste,28.38,kg
2025-01-06,Gedung_I,Energy,109.9,kWh
2025-01-06,Gedung_I,Water,1157.97,L
2025-01-06,Gedung_I,CO2,634.88,ppm
2025-01-06,Gedung_I,Waste,7.76,kg
2025-01-06,Gedung_J,Energy,122.36,kWh
2025-01-06,Gedung_J,Water,1048.34,L
2025-01-06,Gedung_J,CO2,601.05,ppm
2025-01-06,Gedung_J,Waste,49.08,kg
2025-01-06,Gedung_K,Energy,193.49,kWh
2025-01-06,Gedung_K,Water,1187.89,L
2025-01-06,Gedung_K,CO2,677.5,ppm
2025-01-06,Gedung_K,Waste,57.25,kg
2025-01-06,Gedung_L,Energy,231.54,kWh
2025-01-06,Gedung_L,Water,812.65,L
2025-01-06,Gedung_L,CO2,745.6,ppm
2025-01-06,Gedung_L,Waste,32.76,kg
2025-01-06,Gedung_M,Energy,221.2,kWh
2025-01-06,Gedung_M,Water,747.87,L
2025-01-06,Gedung_M,CO2,843.46,ppm
2025-01-06,Gedung_M,Waste,45.9,kg
2025-01-06,Gedung_N,Energy,160.69,kWh
2025-01-06,Gedung_N,Water,459.19,L
2025-01-06,Gedung_N,CO2,485.98,ppm
2025-01-06,Gedung_N,Waste,40.07,kg
2025-01-06,Gedung_O,Energy,210.19,kWh
2025-01-06,Gedung_O,Water,721.3,L
2025-01-06,Gedung_O,CO2,694.71,ppm
2025-01-06,Gedung_O,Waste,20.1,kg
2025-01-06,Gedung_P,Energy,93.17,kWh
2025-01-06,Gedung_P,Water,485.73,L
2025-01-06,Gedung_P,CO2,499.44,ppm
2025-01-06,Gedung_P,Waste,22.58,kg
2025-01-06,Gedung_Q,Energy,171.83,kWh
2025-01-06,Gedung_Q,Water,338.37,L
2025-01-06,Gedung_Q,CO2,477.19,ppm
2025-01-06,Gedung_Q,Waste,43.17,kg
2025-01-06,Gedung_R,Energy,200.09,kWh
2025-01-06,Gedung_R,Water,264.23,L
2025-01-06,Gedung_R,CO2,574.18,ppm
2025-01-06,Gedung_R,Waste,34.84,kg
2025-01-06,Gedung_S,Energy,150.68,kWh
2025-01-06,Gedung_S,Water,406.83,L
2025-01-06,Gedung_S,CO2,581.08,ppm
2025-01-06,Gedung_S,Waste,54.77,kg
2025-01-06,Gedung_T,Energy,179.29,kWh
2025-01-06,Gedung_T,Water,895.52,L
2025-01-06,Gedung_T,CO2,821.2,ppm
2025-01-06,Gedung_T,Waste,47.11,kg
2025-01-07,Gedung_A,Energy,144.66,kWh
2025-01-07,Gedung_A,Water,205.9,L
2025-01-07,Gedung_A,CO2,543.47,ppm
2025-01-07,Gedung_A,Waste,46.44,kg
2025-01-07,Gedung_B,Energy,225.09,kWh
2025-01-07,Gedung_B,Water,1153.43,L
2025-01-07,Gedung_B,CO2,580.46,ppm
2025-01-07,Gedung_B,Waste,46.11,kg
2025-01-07,Gedung_C,Energy,172.84,kWh
2025-01-07,Gedung_C,Water,803.25,L
2025-01-07,Gedung_C,CO2,471.3,ppm
2025-01-07,Gedung_C,Waste,17.07,kg
2025-01-07,Gedung_D,Energy,154.09,kWh
2025-01-07,Gedung_D,Water,229.02,L
2025-01-07,Gedung_D,CO2,534.87,ppm
2025-01-07,Gedung_D,Waste,42.35,kg
2025-01-07,Gedung_E,Energy,148.73,kWh
2025-01-07,Gedung_E,Water,365.04,L
2025-01-07,Gedung_E,CO2,607.06,ppm
2025-01-07,Gedung_E,Waste,12.02,kg
2025-01-07,Gedung_F,Energy,185.78,kWh
2025-01-07,Gedung_F,Water,226.97,L
2025-01-07,Gedung_F,CO2,566.71,ppm
2025-01-07,Gedung_F,Waste,36.04,kg
2025-01-07,Gedung_G,Energy,84.61,kWh
2025-01-07,Gedung_G,Water,842.75,L
2025-01-07,Gedung_G,CO2,424.63,ppm
2025-01-07,Gedung_G,Waste,30.39,kg
2025-01-07,Gedung_H,Energy,88.55,kWh
2025-01-07,Gedung_H,Water,579.1,L
2025-01-07,Gedung_H,CO2,466.41,ppm
2025-01-07,Gedung_H,Waste,22.98,kg
2025-01-07,Gedung_I,Energy,209.41,kWh
2025-01-07,Gedung_I,Water,579.13,L
2025-01-07,Gedung_I,CO2,763.61,ppm
2025-01-07,Gedung_I,Waste,50.76,kg
2025-01-07,Gedung_J,Energy,122.89,kWh
2025-01-07,Gedung_J,Water,281.91,L
2025-01-07,Gedung_J,CO2,360.66,ppm
2025-01-07,Gedung_J,Waste,34.67,kg
2025-01-07,Gedung_K,Energy,249.98,kWh
2025-01-07,Gedung_K,Water,549.96,L
2025-01-07,Gedung_K,CO2,707.58,ppm
2025-01-07,Gedung_K,Waste,47.97,kg
2025-01-07,Gedung_L,Energy,190.8,kWh
2025-01-07,Gedung_L,Water,954.23,L
2025-01-07,Gedung_L,CO2,872.29,ppm
2025-01-07,Gedung_L,Waste,15.96,kg
2025-01-07,Gedung_M,Energy,83.46,kWh
2025-01-07,Gedung_M,Water,352.38,L
2025-01-07,Gedung_M,CO2,419.42,ppm
2025-01-07,Gedung_M,Waste,41.82,kg
2025-01-07,Gedung_N,Energy,175.87,kWh
2025-01-07,Gedung_N,Water,417.96,L
2025-01-07,Gedung_N,CO2,734.71,ppm
2025-01-07,Gedung_N,Waste,47.18,kg
2025-01-07,Gedung_O,Energy,108.52,kWh
2025-01-07,Gedung_O,Water,807.25,L
2025-01-07,Gedung_O,CO2,761.36,ppm
2025-01-07,Gedung_O,Waste,11.3,kg
2025-01-07,Gedung_P,Energy,219.28,kWh
2025-01-07,Gedung_P,Water,1164.72,L
2025-01-07,Gedung_P,CO2,409.45,ppm
2025-01-07,Gedung_P,Waste,6.41,kg
2025-01-07,Gedung_Q,Energy,133.03,kWh
2025-01-07,Gedung_Q,Water,877.35,L
2025-01-07,Gedung_Q,CO2,877.0,ppm
2025-01-07,Gedung_Q,Waste,26.82,kg
2025-01-07,Gedung_R,Energy,201.55,kWh
2025-01-07,Gedung_R,Water,276.0,L
2025-01-07,Gedung_R,CO2,729.84,ppm
2025-01-07,Gedung_R,Waste,39.5,kg
2025-01-07,Gedung_S,Energy,97.32,kWh
2025-01-07,Gedung_S,Water,972.48,L
2025-01-07,Gedung_S,CO2,817.66,ppm
2025-01-07,Gedung_S,Waste,38.02,kg
